Sample,Family ID,Population,Gender
HG01858,VN025,KHV,female
HG01859,VN026,KHV,female
HG01860,VN027,KHV,male
HG01861,VN028,KHV,male
HG01862,VN029,KHV,female
HG01863,VN030,KHV,female
HG01864,VN031,KHV,male
HG01865,VN032,KHV,male
HG01866,VN033,KHV,male
HG01867,VN034,KHV,male
HG01868,VN035,KHV,female
HG01869,VN036,KHV,female
HG01870,VN037,KHV,female
HG01871,VN038,KHV,female
HG01872,VN039,KHV,male
HG01873,VN040,KHV,male
HG01874,VN041,KHV,female
HG01878,VN045,KHV,female
HG01879,BB01,ACB,male
HG01880,BB01,ACB,female
HG01881,BB01,ACB,female
HG01882,BB02,ACB,male
HG01883,BB02,ACB,female
HG01884,BB03,ACB,female
HG01885,BB03,ACB,male
HG01886,BB04,ACB,female
HG01887,BB04,ACB,male
HG01888,BB02,ACB,male
HG01889,BB05,ACB,female
HG01890,BB05,ACB,male
HG01891,BB05,ACB,female
HG01892,PEL007,PEL,male
HG01893,PEL007,PEL,female
HG01894,BB06,ACB,female
HG01895,BB06,ACB,male
HG01896,BB07,ACB,female
HG01897,BB07,ACB,male
HG01898,PEL007,PEL,female
HG01912,BB06,ACB,male
HG01914,BB09,ACB,male
HG01915,BB09,ACB,female
HG01916,BB09,ACB,female
HG01917,PEL006,PEL,male
HG01918,PEL006,PEL,female
HG01919,PEL006,PEL,female
HG01920,PEL009,PEL,male
HG01921,PEL009,PEL,female
HG01922,PEL009,PEL,female
HG01923,PEL010,PEL,male
HG01924,PEL010,PEL,female
HG01925,PEL010,PEL,female
HG01926,PEL011,PEL,male
HG01927,PEL011,PEL,female
HG01928,PEL011,PEL,male
HG01932,PEL013,PEL,male
HG01933,PEL013,PEL,female
HG01934,PEL013,PEL,male
HG01935,PEL014,PEL,male
HG01936,PEL014,PEL,female
HG01937,PEL014,PEL,male
HG01938,PEL015,PEL,male
HG01939,PEL015,PEL,female
HG01940,PEL015,PEL,female
HG01941,PEL016,PEL,male
HG01942,PEL016,PEL,female
HG01943,PEL016,PEL,male
HG01944,PEL017,PEL,male
HG01945,PEL017,PEL,female
HG01946,PEL017,PEL,male
HG01947,PEL018,PEL,male
HG01948,PEL018,PEL,female
HG01949,PEL018,PEL,female
HG01950,PEL019,PEL,male
HG01951,PEL019,PEL,female
HG01952,PEL019,PEL,male
HG01953,PEL020,PEL,male
HG01954,PEL020,PEL,female
HG01955,PEL020,PEL,female
HG01956,BB03,ACB,female
HG01958,BB10,ACB,female
HG01959,BB10,ACB,female
HG01960,BB11,ACB,female
HG01961,PEL21,PEL,male
HG01965,PEL22,PEL,female
HG01967,PEL023,PEL,male
HG01968,PEL023,PEL,female
HG01969,PEL023,PEL,female
HG01970,PEL024,PEL,male
HG01971,PEL024,PEL,female
HG01972,PEL024,PEL,female
HG01973,PEL25,PEL,female
HG01974,PEL25,PEL,male
HG01975,PEL25,PEL,female
HG01976,PEL26,PEL,female
HG01977,PEL26,PEL,male
HG01978,PEL26,PEL,female
HG01979,PEL27,PEL,male
HG01980,PEL27,PEL,female
HG01981,PEL27,PEL,female
HG01982,PEL28,PEL,male
HG01983,PEL28,PEL,female
HG01984,PEL28,PEL,male
HG01985,BB08,ACB,female
HG01986,BB10,ACB,male
HG01987,BB12,ACB,male
HG01988,BB11,ACB,male
HG01989,BB11,ACB,female
HG01990,BB12,ACB,male
HG01991,PEL29,PEL,male
HG01992,PEL29,PEL,female
HG01993,PEL29,PEL,female
HG01995,PEL30,PEL,female
HG01997,PEL31,PEL,female
HG01998,PEL31,PEL,male
HG02002,PEL33,PEL,male
HG02003,PEL33,PEL,female
HG02004,PEL33,PEL,female
HG02006,PEL34,PEL,female
HG02008,PEL31,PEL,male
HG02009,BB13,ACB,male
HG02010,BB13,ACB,female
HG02011,BB13,ACB,male
HG02012,BB12,ACB,female
HG02013,BB07,ACB,male
HG02014,BB04,ACB,male
HG02015,VN046,KHV,male
HG02016,VN046,KHV,female
HG02017,VN046,KHV,male
HG02018,VN047,KHV,female
HG02019,VN047,KHV,female
HG02020,VN047,KHV,male
HG02021,VN048,KHV,male
HG02023,VN048,KHV,male
HG02024,VN049,KHV,female
HG02025,VN049,KHV,female
HG02026,VN049,KHV,male
HG02027,VN050,KHV,male
HG02028,VN050,KHV,female
HG02029,VN050,KHV,male
HG02030,VN051,KHV,male
HG02031,VN051,KHV,female
HG02032,VN051,KHV,male
HG02035,VN052,KHV,male
HG02040,VN054,KHV,male
HG02046,VN056,KHV,female
HG02047,VN056,KHV,male
HG02048,VN057,KHV,female
HG02049,VN058,KHV,female
HG02050,VN059,KHV,male
HG02051,BB14,ACB,male
HG02052,BB14,ACB,female
HG02053,BB15,ACB,male
HG02054,BB15,ACB,female
HG02055,BB15,ACB,male
HG02056,VN060,KHV,male
HG02057,VN060,KHV,female
HG02058,VN060,KHV,male
HG02059,VN061,KHV,female
HG02060,VN061,KHV,female
HG02061,VN061,KHV,male
HG02064,VN062,KHV,male
HG02067,VN063,KHV,male
HG02068,VN064,KHV,female
HG02069,VN064,KHV,female
HG02070,VN064,KHV,male
HG02071,VN065,KHV,male
HG02072,VN065,KHV,female
HG02073,VN065,KHV,male
HG02074,VN066,KHV,male
HG02075,VN066,KHV,female
HG02076,VN066,KHV,male
HG02077,VN067,KHV,male
HG02078,VN067,KHV,female
HG02079,VN067,KHV,male
HG02080,VN068,KHV,female
HG02081,VN068,KHV,female
HG02082,VN068,KHV,male
HG02083,VN069,KHV,male
HG02084,VN069,KHV,female
HG02085,VN069,KHV,male
HG02086,VN070,KHV,female
HG02087,VN071,KHV,female
HG02088,VN072,KHV,male
HG02089,PEL35,PEL,female
HG02090,PEL35,PEL,male
HG02091,PEL35,PEL,female
HG02095,BB16,ACB,female
HG02102,PEL37,PEL,female
HG02104,PEL38,PEL,male
HG02105,PEL38,PEL,female
HG02106,PEL38,PEL,female
HG02107,BB18,ACB,male
HG02108,BB18,ACB,female
HG02111,BB19,ACB,female
HG02113,VN073,KHV,female
HG02116,VN074,KHV,male
HG02120,VN076,KHV,male
HG02121,VN076,KHV,female
HG02122,VN076,KHV,male
HG02126,VN078,KHV,female
HG02127,VN078,KHV,female
HG02128,VN078,KHV,male
HG02129,VN079,KHV,male
HG02130,VN079,KHV,female
HG02131,VN079,KHV,male
HG02132,VN080,KHV,male
HG02133,VN080,KHV,female
HG02134,VN080,KHV,male
HG02135,VN081,KHV,male
HG02136,VN081,KHV,female
HG02137,VN081,KHV,male
HG02138,VN082,KHV,male
HG02139,VN083,KHV,female
HG02140,VN084,KHV,female
HG02141,VN085,KHV,male
HG02142,VN086,KHV,female
HG02143,BB20,ACB,male
HG02144,BB20,ACB,female
HG02145,BB20,ACB,male
HG02146,PEL39,PEL,male
HG02147,PEL39,PEL,female
HG02148,PEL39,PEL,female
HG02150,PEL40,PEL,male
HG02151,HG02151,CDX,female
HG02152,HG02152,CDX,female
HG02153,HG02153,CDX,female
HG02154,HG02154,CDX,female
HG02155,HG02155,CDX,female
HG02156,HG02156,CDX,female
HG02164,HG02164,CDX,female
HG02165,HG02165,CDX,female
HG02166,HG02166,CDX,female
HG02168,HG02168,CDX,female
HG02169,HG02169,CDX,female
HG02170,HG02170,CDX,female
HG02173,HG02173,CDX,female
HG02176,HG02176,CDX,female
HG02178,HG02178,CDX,female
HG02179,HG02179,CDX,female
HG02180,HG02180,CDX,female
HG02181,HG02181,CDX,female
HG02182,HG02182,CDX,female
HG02184,HG02184,CDX,female
HG02185,HG02185,CDX,female
HG02186,HG02186,CDX,female
HG02187,HG02187,CDX,female
HG02188,HG02188,CDX,female
HG02189,HG02189,CDX,female
HG02190,HG02190,CDX,female
HG02215,HG02215,GBR,female
HG02217,IBS055,IBS,female
HG02218,IBS055,IBS,female
HG02219,IBS055,IBS,male
HG02220,IBS056,IBS,female
HG02221,IBS056,IBS,male
HG02222,IBS056,IBS,female
HG02223,IBS057,IBS,female
HG02224,IBS057,IBS,male
HG02225,IBS057,IBS,female
HG02229,IBS059,IBS,female
HG02230,IBS059,IBS,female
HG02231,IBS059,IBS,male
HG02232,IBS060,IBS,female
HG02233,IBS060,IBS,male
HG02234,IBS060,IBS,male
HG02235,IBS061,IBS,female
HG02236,IBS061,IBS,male
HG02237,IBS061,IBS,female
HG02238,IBS062,IBS,male
HG02239,IBS062,IBS,female
HG02240,IBS062,IBS,female
HG02250,HG02250,CDX,male
HG02252,PEL41,PEL,female
HG02253,PEL41,PEL,male
HG02254,PEL41,PEL,female
HG02255,BB21,ACB,male
HG02256,BB21,ACB,female
HG02257,BB21,ACB,female
HG02258,BB22,ACB,male
HG02259,PEL42,PEL,male
HG02260,PEL42,PEL,female
HG02261,PEL42,PEL,male
HG02262,PEL43,PEL,male
HG02265,PEL44,PEL,male
HG02266,PEL44,PEL,female
HG02267,PEL44,PEL,female
HG02271,PEL46,PEL,male
HG02272,PEL46,PEL,female
HG02273,PEL46,PEL,female
HG02274,PEL47,PEL,male
HG02275,PEL47,PEL,female
HG02276,PEL47,PEL,female
HG02277,PEL48,PEL,male
HG02278,PEL48,PEL,female
HG02279,PEL48,PEL,male
HG02280,BB23,ACB,female
HG02281,BB24,ACB,male
HG02282,BB24,ACB,female
HG02283,BB25,ACB,male
HG02284,BB26,ACB,male
HG02285,PEL49,PEL,male
HG02286,PEL49,PEL,female
HG02287,PEL49,PEL,female
HG02288,PEL50,PEL,male
HG02291,PEL51,PEL,male
HG02292,PEL51,PEL,female
HG02293,PEL51,PEL,female
HG02298,PEL52,PEL,female
HG02299,PEL52,PEL,male
HG02300,PEL52,PEL,male
HG02301,PEL53,PEL,female
HG02302,PEL53,PEL,male
HG02303,PEL53,PEL,female
HG02304,PEL54,PEL,male
HG02307,BB23,ACB,male
HG02308,BB23,ACB,female
HG02309,BB25,ACB,female
HG02312,PEL55,PEL,female
HG02314,BB22,ACB,male
HG02315,BB22,ACB,female
HG02316,BB27,ACB,male
HG02317,BB27,ACB,male
HG02318,BB27,ACB,female
HG02321,BB24,ACB,female
HG02322,BB28,ACB,female
HG02323,BB29,ACB,male
HG02325,BB30,ACB,female
HG02330,BB33,ACB,male
HG02332,BB16,ACB,male
HG02334,BB32,ACB,male
HG02337,BB31,ACB,female
HG02339,BB34,ACB,female
HG02343,BB35,ACB,male
HG02344,PEL56,PEL,male
HG02345,PEL56,PEL,female
HG02347,PEL57,PEL,male
HG02348,PEL57,PEL,female
HG02351,HG02351,CDX,male
HG02353,HG02353,CDX,male
HG02355,HG02355,CDX,male
HG02356,HG02356,CDX,male
HG02358,HG02358,CDX,male
HG02360,HG02360,CDX,male
HG02363,HG02363,CDX,male
HG02364,HG02364,CDX,male
HG02367,HG02367,CDX,male
HG02371,CDX2,CDX,male
HG02372,CDX2,CDX,male
HG02373,HG02373,CDX,male
HG02374,HG02374,CDX,male
HG02375,HG02375,CDX,male
HG02377,HG02377,CDX,male
HG02379,HG02379,CDX,male
HG02380,HG02380,CDX,male
HG02381,HG02381,CDX,male
HG02382,HG02382,CDX,male
HG02383,HG02383,CDX,male
HG02384,HG02384,CDX,male
HG02385,HG02385,CDX,male
HG02386,HG02386,CDX,male
HG02387,HG02387,CDX,male
HG02388,HG02388,CDX,male
HG02389,HG02389,CDX,male
HG02390,HG02390,CDX,male
HG02391,HG02391,CDX,male
HG02392,HG02392,CDX,male
HG02394,HG02394,CDX,male
HG02395,HG02395,CDX,male
HG02396,HG02396,CDX,male
HG02397,HG02397,CDX,male
HG02398,HG02398,CDX,male
HG02399,HG02399,CDX,male
HG02401,HG02401,CDX,male
HG02402,HG02402,CDX,male
HG02405,HG02405,CDX,male
HG02406,HG02406,CDX,male
HG02407,HG02407,CDX,male
HG02408,HG02408,CDX,male
HG02409,HG02409,CDX,male
HG02410,HG02410,CDX,male
HG02415,PEL58,PEL,female
HG02419,BB36,ACB,female
HG02420,BB37,ACB,male
HG02425,PEL59,PEL,female
HG02427,BB37,ACB,female
HG02428,BB37,ACB,male
HG02429,BB39,ACB,male
HG02433,BB41,ACB,male
HG02436,BB40,ACB,male
HG02439,BB42,ACB,male
HG02442,BB43,ACB,male
HG02445,BB44,ACB,male
HG02449,BB46,ACB,male
HG02450,BB46,ACB,female
HG02451,BB46,ACB,female
HG02455,BB48,ACB,male
HG02461,GB15,GWD,male
HG02462,GB15,GWD,female
HG02463,GB15,GWD,male
HG02464,GB16,GWD,male
HG02465,GB16,GWD,female
HG02466,GB16,GWD,male
HG02470,BB49,ACB,male
HG02471,BB49,ACB,female
HG02476,BB51,ACB,female
HG02477,BB52,ACB,female
HG02478,BB53,ACB,male
HG02479,BB53,ACB,female
HG02480,BB53,ACB,female
HG02481,BB54,ACB,male
HG02484,BB55,ACB,male
HG02485,BB55,ACB,female
HG02486,BB55,ACB,male
HG02489,BB45,ACB,male
HG02490,PK06,PJL,male
HG02491,PK06,PJL,female
HG02492,PK06,PJL,male
HG02493,PK07,PJL,male
HG02494,PK07,PJL,female
HG02495,PK07,PJL,female
HG02496,BB57,ACB,male
HG02497,BB57,ACB,female
HG02501,BB58,ACB,male
HG02502,BB58,ACB,female
HG02505,BB59,ACB,female
HG02508,BB60,ACB,female
HG02511,BB56,ACB,female
HG02512,VN087,KHV,male
HG02513,VN087,KHV,female
HG02514,VN087,KHV,male
HG02521,VN090,KHV,male
HG02522,VN090,KHV,female
HG02523,VN090,KHV,female
HG02524,VN91,KHV,male
HG02525,VN91,KHV,female
HG02526,VN91,KHV,female
HG02536,BB61,ACB,male
HG02537,BB61,ACB,female
HG02541,BB63,ACB,male
HG02545,BB64,ACB,male
HG02546,BB64,ACB,female
HG02547,BB64,ACB,male
HG02549,BB65,ACB,female
HG02554,BB67,ACB,male
HG02555,BB67,ACB,female
HG02557,BB68,ACB,male
HG02558,BB68,ACB,female
HG02559,BB68,ACB,female
HG02561,GB18,GWD,male
HG02562,GB18,GWD,female
HG02563,GB18,GWD,male
HG02567,GB20,GWD,male
HG02568,GB20,GWD,female
HG02569,GB20,GWD,male
HG02570,GB21,GWD,male
HG02571,GB21,GWD,female
HG02572,GB21,GWD,male
HG02573,GB22,GWD,male
HG02574,GB22,GWD,female
HG02575,GB22,GWD,male
HG02577,BB69,ACB,female
HG02580,BB70,ACB,female
HG02582,GB23,GWD,male
HG02583,GB23,GWD,female
HG02584,GB23,GWD,male
HG02585,GB24,GWD,male
HG02586,GB24,GWD,female
HG02587,GB24,GWD,female
HG02588,GB25,GWD,male
HG02589,GB25,GWD,female
HG02590,GB25,GWD,male
HG02594,GB27,GWD,male
HG02595,GB27,GWD,female
HG02596,GB27,GWD,male
HG02597,PK08,PJL,male
HG02599,PK08,PJL,male
HG02600,PK09,PJL,male
HG02601,PK09,PJL,female
HG02602,PK09,PJL,male
HG02603,PK10,PJL,male
HG02604,PK10,PJL,female
HG02605,PK10,PJL,female
HG02610,GB28,GWD,male
HG02611,GB28,GWD,female
HG02612,GB28,GWD,male
HG02613,GB29,GWD,male
HG02614,GB29,GWD,female
HG02615,GB29,GWD,female
HG02620,GB31,GWD,male
HG02621,GB31,GWD,female
HG02622,GB31,GWD,female
HG02623,GB32,GWD,male
HG02624,GB32,GWD,female
HG02625,GB32,GWD,male
HG02628,GB33,GWD,male
HG02629,GB33,GWD,female
HG02630,GB33,GWD,female
HG02634,GB35,GWD,male
HG02635,GB35,GWD,female
HG02636,GB35,GWD,male
HG02642,GB37,GWD,male
HG02643,GB37,GWD,female
HG02644,GB37,GWD,male
HG02645,GB38,GWD,male
HG02646,GB38,GWD,female
HG02647,GB38,GWD,male
HG02648,PK11,PJL,male
HG02649,PK11,PJL,female
HG02650,PK11,PJL,male
HG02651,PK12,PJL,male
HG02652,PK12,PJL,female
HG02653,PK12,PJL,female
HG02654,PK13,PJL,male
HG02655,PK13,PJL,female
HG02656,PK13,PJL,male
HG02657,PK14,PJL,male
HG02658,PK14,PJL,female
HG02659,PK14,PJL,female
HG02660,PK15,PJL,male
HG02661,PK15,PJL,female
HG02662,PK15,PJL,female
HG02666,GB40,GWD,male
HG02667,GB40,GWD,female
HG02668,GB40,GWD,male
HG02675,GB43,GWD,male
HG02676,GB43,GWD,female
HG02677,GB43,GWD,female
HG02678,GB44,GWD,male
HG02679,GB44,GWD,female
HG02680,GB44,GWD,female
HG02681,PK16,PJL,male
HG02682,PK16,PJL,female
HG02683,PK16,PJL,female
HG02684,PK17,PJL,male
HG02685,PK17,PJL,female
HG02686,PK17,PJL,male
HG02687,PK18,PJL,male
HG02688,PK18,PJL,female
HG02689,PK18,PJL,male
HG02690,PK19,PJL,male
HG02691,PK19,PJL,female
HG02692,PK19,PJL,female
HG02694,PK20,PJL,female
HG02696,PK21,PJL,male
HG02697,PK21,PJL,female
HG02698,PK21,PJL,male
HG02699,PK22,PJL,male
HG02700,PK22,PJL,female
HG02701,PK22,PJL,male
HG02702,GB45,GWD,male
HG02703,GB45,GWD,female
HG02704,GB45,GWD,female
HG02715,GB50,GWD,male
HG02716,GB50,GWD,female
HG02717,GB50,GWD,male
HG02721,GB52,GWD,male
HG02722,GB52,GWD,female
HG02723,GB52,GWD,female
HG02724,PK23,PJL,male
HG02725,PK23,PJL,female
HG02726,PK23,PJL,female
HG02727,PK24,PJL,male
HG02728,PK24,PJL,female
HG02729,PK24,PJL,male
HG02731,PK25,PJL,female
HG02733,PK26,PJL,male
HG02734,PK26,PJL,female
HG02735,PK26,PJL,male
HG02736,PK27,PJL,male
HG02737,PK27,PJL,female
HG02738,PK27,PJL,male
HG02756,GB53,GWD,male
HG02757,GB53,GWD,female
HG02758,GB53,GWD,female
HG02759,GB54,GWD,male
HG02760,GB54,GWD,female
HG02761,GB54,GWD,female
HG02762,GB55,GWD,male
HG02763,GB55,GWD,female
HG02764,GB55,GWD,male
HG02768,GB57,GWD,male
HG02769,GB57,GWD,female
HG02770,GB57,GWD,female
HG02771,GB58,GWD,male
HG02772,GB58,GWD,female
HG02773,GB58,GWD,male
HG02774,PK28,PJL,male
HG02775,PK28,PJL,female
HG02776,PK28,PJL,female
HG02778,PK29,PJL,female
HG02779,PK29,PJL,male
HG02780,PK30,PJL,male
HG02781,PK30,PJL,female
HG02783,PK31,PJL,male
HG02784,PK31,PJL,female
HG02785,PK31,PJL,female
HG02786,PK32,PJL,male
HG02787,PK32,PJL,female
HG02788,PK32,PJL,female
HG02789,PK33,PJL,male
HG02790,PK33,PJL,female
HG02791,PK33,PJL,male
HG02792,PK34,PJL,male
HG02793,PK34,PJL,female
HG02794,PK34,PJL,male
HG02798,GB60,GWD,male
HG02799,GB60,GWD,female
HG02800,GB60,GWD,male
HG02804,GB62,GWD,male
HG02805,GB62,GWD,female
HG02806,GB62,GWD,female
HG02807,GB63,GWD,male
HG02808,GB63,GWD,female
HG02809,GB63,GWD,female
HG02810,GB64,GWD,male
HG02811,GB64,GWD,female
HG02812,GB64,GWD,male
HG02813,GB65,GWD,male
HG02814,GB65,GWD,female
HG02815,GB65,GWD,male
HG02816,GB66,GWD,male
HG02817,GB66,GWD,female
HG02818,GB66,GWD,female
HG02819,GB67,GWD,male
HG02820,GB67,GWD,female
HG02821,GB67,GWD,male
HG02836,GB73,GWD,male
HG02837,GB73,GWD,female
HG02838,GB73,GWD,male
HG02839,GB74,GWD,male
HG02840,GB74,GWD,female
HG02841,GB74,GWD,female
HG02851,GB78,GWD,male
HG02852,GB78,GWD,female
HG02853,GB78,GWD,male
HG02854,GB79,GWD,male
HG02855,GB79,GWD,female
HG02856,GB79,GWD,male
HG02860,GB81,GWD,male
HG02861,GB81,GWD,female
HG02862,GB81,GWD,female
HG02869,GB84,GWD,male
HG02870,GB84,GWD,female
HG02871,GB84,GWD,female
HG02878,GB87,GWD,male
HG02879,GB87,GWD,female
HG02880,GB87,GWD,female
HG02881,GB88,GWD,male
HG02882,GB88,GWD,female
HG02883,GB88,GWD,male
HG02884,GB89,GWD,male
HG02885,GB89,GWD,female
HG02886,GB89,GWD,female
HG02887,GB90,GWD,male
HG02888,GB90,GWD,female
HG02889,GB90,GWD,female
HG02890,GB91,GWD,male
HG02891,GB91,GWD,female
HG02892,GB91,GWD,male
HG02895,GB93,GWD,male
HG02896,GB93,GWD,female
HG02897,GB93,GWD,female
HG02922,NG06,ESN,female
HG02923,NG06,ESN,male
HG02924,NG06,ESN,male
HG02938,NG11,ESN,male
HG02939,NG11,ESN,male
HG02941,NG12,ESN,male
HG02942,NG12,ESN,male
HG02943,NG13,ESN,female
HG02944,NG13,ESN,male
HG02945,NG13,ESN,female
HG02946,NG14,ESN,female
HG02947,NG14,ESN,male
HG02948,NG14,ESN,male
HG02952,NG16,ESN,female
HG02953,NG16,ESN,male
HG02954,NG16,ESN,male
HG02964,NG20,ESN,female
HG02965,NG20,ESN,male
HG02966,NG20,ESN,male
HG02968,NG21,ESN,male
HG02969,NG21,ESN,female
HG02970,NG22,ESN,female
HG02971,NG22,ESN,male
HG02972,NG22,ESN,male
HG02973,NG23,ESN,male
HG02974,NG23,ESN,female
HG02975,NG23,ESN,male
HG02976,NG24,ESN,female
HG02977,NG24,ESN,male
HG02978,NG24,ESN,female
HG02979,NG25,ESN,female
HG02980,NG25,ESN,male
HG02981,NG25,ESN,male
HG02982,GB97,GWD,male
HG02983,GB97,GWD,female
HG02984,GB97,GWD,male
HG03006,BD01,BEB,male
HG03007,BD01,BEB,female
HG03008,BD01,BEB,male
HG03009,HG03009,BEB,male
HG03012,BD3,BEB,male
HG03015,PK35,PJL,male
HG03016,PK35,PJL,female
HG03017,PK35,PJL,male
HG03018,PK36,PJL,male
HG03019,PK36,PJL,female
HG03021,PK37,PJL,male
HG03022,HG03022,PJL,female
HG03023,PK37,PJL,male
HG03024,GB105,GWD,male
HG03025,GB105,GWD,female
HG03026,GB105,GWD,female
HG03027,GB106,GWD,male
HG03028,GB106,GWD,female
HG03029,GB106,GWD,male
HG03033,GB108,GWD,male
HG03034,GB108,GWD,female
HG03035,GB108,GWD,male
HG03039,GB110,GWD,male
HG03040,GB110,GWD,female
HG03041,GB110,GWD,female
HG03045,GB112,GWD,male
HG03046,GB112,GWD,female
HG03047,GB112,GWD,female
HG03048,GB113,GWD,male
HG03049,GB113,GWD,female
HG03050,GB113,GWD,male
HG03052,SL01,MSL,female
HG03053,SL01,MSL,female
HG03054,SL02,MSL,male
HG03055,SL02,MSL,female
HG03056,SL02,MSL,male
HG03057,HG03057,MSL,male
HG03058,SL03,MSL,female
HG03059,SL03,MSL,male
HG03060,HG03060,MSL,male
HG03061,SL04,MSL,female
HG03062,SL04,MSL,male
HG03063,SL05,MSL,male
HG03064,SL05,MSL,female
HG03065,SL05,MSL,male
HG03066,SL06,MSL,male
HG03069,SL07,MSL,male
HG03072,SL08,MSL,male
HG03073,SL08,MSL,female
HG03074,HG03074,MSL,male
HG03076,SL09,MSL,female
HG03077,HG03077,MSL,male
HG03078,HG03078,MSL,male
HG03079,SL10,MSL,female
HG03080,SL10,MSL,female
HG03081,SL11,MSL,male
HG03082,SL11,MSL,female
HG03084,HG03084,MSL,male
HG03085,HG03085,MSL,female
HG03086,HG03086,MSL,female
HG03088,SL13,MSL,female
HG03091,SL14,MSL,female
HG03095,SL15,MSL,female
HG03096,SL16,MSL,male
HG03097,SL16,MSL,female
HG03098,SL16,MSL,male
HG03099,NG26,ESN,female
HG03100,NG26,ESN,male
HG03101,NG26,ESN,male
HG03103,NG27,ESN,male
HG03104,NG27,ESN,female
HG03105,NG28,ESN,female
HG03107,NG28,ESN,female
HG03108,NG29,ESN,female
HG03109,NG29,ESN,male
HG03110,NG29,ESN,female
HG03111,NG30,ESN,female
HG03112,NG30,ESN,male
HG03113,NG30,ESN,female
HG03114,NG31,ESN,female
HG03115,NG31,ESN,male
HG03116,NG31,ESN,female
HG03117,NG32,ESN,female
HG03118,NG32,ESN,male
HG03119,NG32,ESN,female
HG03120,NG33,ESN,male
HG03121,NG33,ESN,female
HG03122,NG33,ESN,male
HG03123,NG34,ESN,female
HG03124,NG34,ESN,male
HG03125,NG34,ESN,female
HG03126,NG35,ESN,female
HG03127,NG35,ESN,male
HG03128,NG35,ESN,male
HG03129,NG36,ESN,female
HG03130,NG36,ESN,male
HG03131,NG36,ESN,male
HG03132,NG37,ESN,female
HG03133,NG37,ESN,male
HG03134,NG37,ESN,male
HG03135,NG38,ESN,female
HG03136,NG38,ESN,male
HG03137,NG38,ESN,male
HG03139,NG39,ESN,male
HG03140,NG39,ESN,female
HG03157,NG45,ESN,male
HG03158,NG45,ESN,female
HG03159,NG46,ESN,female
HG03160,NG46,ESN,male
HG03161,NG46,ESN,male
HG03162,NG47,ESN,female
HG03163,NG47,ESN,male
HG03164,NG47,ESN,female
HG03166,NG48,ESN,male
HG03167,NG48,ESN,male
HG03168,NG49,ESN,female
HG03169,NG49,ESN,male
HG03170,NG49,ESN,male
HG03171,HG03171,ESN,female
HG03172,NG50,ESN,male
HG03173,NG50,ESN,male
HG03175,NG51,ESN,male
HG03176,NG51,ESN,male
HG03189,NG56,ESN,female
HG03190,NG56,ESN,male
HG03191,NG56,ESN,male
HG03193,NG57,ESN,male
HG03194,NG57,ESN,male
HG03195,NG58,ESN,female
HG03196,NG58,ESN,male
HG03197,NG58,ESN,male
HG03198,NG59,ESN,female
HG03199,NG59,ESN,male
HG03200,NG59,ESN,female
HG03202,NG60,ESN,male
HG03203,NG60,ESN,female
HG03209,SL17,MSL,male
HG03212,SL18,MSL,female
HG03224,SL22,MSL,male
HG03225,SL23,MSL,male
HG03228,PK38,PJL,male
HG03229,PK38,PJL,female
HG03230,PK38,PJL,female
HG03234,PK40,PJL,male
HG03235,PK40,PJL,female
HG03236,PK40,PJL,female
HG03237,PK41,PJL,male
HG03238,PK41,PJL,female
HG03239,PK41,PJL,female
HG03240,GB114,GWD,male
HG03241,GB114,GWD,female
HG03242,GB114,GWD,male
HG03246,GB116,GWD,male
HG03247,GB116,GWD,female
HG03248,GB116,GWD,male
HG03249,GB117,GWD,male
HG03250,GB117,GWD,female
HG03251,GB117,GWD,female
HG03258,GB120,GWD,male
HG03259,GB120,GWD,female
HG03260,GB120,GWD,male
HG03265,NG63,ESN,male
HG03266,NG63,ESN,female
HG03267,NG64,ESN,female
HG03268,NG64,ESN,male
HG03269,NG64,ESN,male
HG03270,NG65,ESN,female
HG03271,NG65,ESN,male
HG03272,NG65,ESN,female
HG03279,NG68,ESN,female
HG03280,NG68,ESN,male
HG03291,NG72,ESN,female
HG03293,NG72,ESN,male
HG03294,NG73,ESN,female
HG03295,NG73,ESN,male
HG03296,NG73,ESN,male
HG03297,NG74,ESN,female
HG03298,NG74,ESN,male
HG03299,NG74,ESN,male
HG03300,NG75,ESN,female
HG03301,NG75,ESN,male
HG03302,NG75,ESN,male
HG03303,NG76,ESN,female
HG03304,NG76,ESN,male
HG03305,NG76,ESN,female
HG03306,NG77,ESN,female
HG03307,NG77,ESN,male
HG03308,NG77,ESN,male
HG03309,NG78,ESN,female
HG03310,NG78,ESN,female
HG03311,NG78,ESN,male
HG03312,NG79,ESN,female
HG03313,NG79,ESN,male
HG03314,NG79,ESN,male
HG03339,NG88,ESN,female
HG03341,NG88,ESN,female
HG03342,NG89,ESN,female
HG03343,NG89,ESN,male
HG03344,NG89,ESN,male
HG03350,NG92,ESN,male
HG03351,NG92,ESN,female
HG03352,NG92,ESN,male
HG03354,NG93,ESN,female
HG03361,NG95,ESN,male
HG03362,NG95,ESN,male
HG03363,NG96,ESN,female
HG03365,NG96,ESN,male
HG03366,NG97,ESN,female
HG03367,NG97,ESN,male
HG03368,NG97,ESN,male
HG03369,NG98,ESN,female
HG03370,NG98,ESN,male
HG03371,NG98,ESN,male
HG03372,NG99,ESN,female
HG03373,NG99,ESN,male
HG03374,NG99,ESN,female
HG03376,SL24,MSL,male
HG03378,HG03378,MSL,female
HG03380,SL25,MSL,female
